movie_title,domestic_total_gross,worldwide_total_gross,opening_weekend_rev,budget,runtime_minutes,IMDb_rating,time_between_sequel,sequel_worldwide_total_gross,Adventure,Animation,Biography,Comedy,Crime,Drama,Fantasy,Horror,Sci-Fi,Thriller,G,NC-17,PG,PG-13,R
Think Like a Man,91547205.0,96070507.0,33636303.0,12000000.0,123.0,6.5,2.1656844425279096,70181428.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Into the Blue,18801234.0,46117696.0,7057854.0,50000000.0,110.0,5.9,3.5565412020780713,217611052.414905,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Critters,13167232.0,13167232.0,1618800.0,2000000.0,86.0,6.1,2.050692348234392,3813293.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Critters 2,3813293.0,3813293.0,1898751.0,4500000.0,86.0,5.5,3.737243064539313,217611052.4130613,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Critters 3,95747843.58671571,217611052.4130613,26418055.192448586,50165288.69185974,86.0,4.4,0.722807449844966,217611052.413361,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Dolphin Tale,72286779.0,95943453.0,19152401.0,37000000.0,113.0,6.9,2.9706291025825307,57824533.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Hot Tub Time Machine,50287556.0,64780213.0,14020502.0,36000000.0,101.0,6.4,4.906329356523406,13081651.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Paul Blart: Mall Cop,146336178.0,183348429.0,31832636.0,26000000.0,91.0,5.2,6.247903789947775,107588225.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Horrible Bosses,117538559.0,209838559.0,28302165.0,35000000.0,98.0,6.9,3.386790967644784,107645357.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
The Descent,26024456.0,57130027.0,8911330.0,27761633.677571047,99.0,7.2,3.1951374771555883,22963523.00681106,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Quarantine,31691811.0,41319906.0,14211321.0,12000000.0,89.0,5.9,2.6831488668487373,50555876.06785232,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
V/H/S,100345.0,1944287.0,36402.0,18302739.790825374,116.0,5.8,0.7474486129078626,805574.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Grave Encounters,21929357.143564217,21929357.143564217,3556108.3476401744,16528835.218113393,92.0,6.1,1.0650458257185296,22903105.065239318,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
An American Werewolf in London,30565292.0,30565292.0,3786512.0,10000000.0,97.0,7.5,16.34530483172139,26570463.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Fantômas se déchaîne,95747843.58755302,217611052.41556558,26418055.192740746,50165288.69244246,94.0,6.9,1.2676509442356791,217611052.41862503,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carlito's Way,36948322.0,63851527.0,9116675.0,30000000.0,144.0,7.9,12.05226664476341,68607241.46094352,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
The Hunt for Eagle One,95747843.587441,217611052.41524124,26418055.192703832,50165288.692373425,93.1910966769178,3.8,0.4408030281251497,217611052.41539562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Fright Night,24922237.0,24922237.0,6118543.0,9000000.0,106.0,7.1,3.7947391116860714,2983784.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Fright Night Part 2,2983784.0,2983784.0,548231.0,7500000.0,104.0,5.9,24.370110269204705,217611052.41734576,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Child's Play,33244684.0,44196684.0,6583963.0,9000000.0,87.0,6.6,1.9986721151016105,35763605.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Child's Play 2,28501605.0,35763605.0,10718520.0,13000000.0,84.0,5.9,0.8049446600546213,20560255.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
The Dead,20529597.35043927,20529597.35043927,3122498.3509821184,15890728.633559864,105.0,5.7,3.2772746873652436,217611052.4167508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
The Cell,61334059.0,104155843.0,17515050.0,33000000.0,107.0,6.3,8.827012190530949,217611052.4154758,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Major League,49797148.0,49797148.0,8836265.0,11000000.0,107.0,7.2,4.977514938705107,30626182.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Major League II,30626182.0,30626182.0,7040777.0,25000000.0,105.0,5.6,4.049364463336003,3572443.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Mirrors,30691439.0,78094714.0,11161074.0,35000000.0,110.0,6.2,2.1766360705558636,217611052.41307235,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Piranha 3D,25003155.0,83188165.0,10106872.0,24000000.0,88.0,5.4,1.9001074628500243,8518634.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
The Hills Have Eyes,41778863.0,70009308.0,15708512.0,15000000.0,107.0,6.4,1.034928848641656,37697773.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
I Spit on Your Grave,93051.0,1278650.0,32440.0,2000000.0,108.0,6.3,2.625652819701979,678604.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
The Collector,7712114.0,10234475.0,3576296.0,6000000.0,90.0,6.4,3.334770734512002,9929706.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
30 Days of Night,39569000.0,75513170.0,15951902.0,30000000.0,113.0,6.6,2.9624153815615655,217611052.4148984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Ted,218815487.0,549368315.0,54415205.0,50000000.0,106.0,6.9,2.9897944516314503,215863606.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Poltergeist,77142388.0,77142388.0,6896612.0,10700000.0,114.0,7.3,3.9672272531263477,40996665.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Poltergeist II: The Other Side,40996665.0,40996665.0,12357190.0,19000000.0,91.0,5.7,2.050692348234392,14114488.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Clerks,3151130.0,3151130.0,31665.0,27000.0,92.0,7.7,11.696338733854905,26986174.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
The Raid: Redemption,4105187.0,9148519.0,213785.0,1100000.0,101.0,7.6,1.9931963010876335,6566916.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
The Hobbit: An Unexpected Journey,303003568.0,1017003568.0,84617303.0,180000000.0,169.0,7.8,0.9965981505438167,958366855.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
The Hobbit: The Desolation of Smaug,258366855.0,958366855.0,73645197.0,225000000.0,161.0,7.8,1.0102876855787593,956019788.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Wall Street,43848069.0,43848069.0,4104611.0,15000000.0,126.0,7.4,22.78760001916535,134748021.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Young Guns,45661556.0,45661556.0,7011393.0,13000000.0,107.0,6.9,1.968555138024737,44143410.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Finding Nemo,380843261.0,940350194.0,70251710.0,94000000.0,100.0,8.1,13.051602702314216,1028570889.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Bad Lieutenant,2000022.0,2038916.0,47454.0,1000000.0,96.0,7.1,16.983237164349713,10606422.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Taken,145000989.0,226837760.0,24717037.0,25000000.0,90.0,7.8,3.6797470173925544,376152455.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Project A,95747843.5886792,217611052.41894442,26418055.19313581,50165288.69323467,105.0,7.4,3.6578437613366463,217611052.41924417,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Cloverfield,80048433.0,172394180.0,40058229.0,25000000.0,85.0,7.0,8.14527334579081,110216998.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
My Big Fat Greek Wedding,241438208.0,368744044.0,597362.0,5000000.0,95.0,6.5,13.645728522830723,90632641.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Avengers: Age of Ultron,459005868.0,1402809540.0,191271109.0,250000000.0,141.0,7.3,2.9897944516314503,2048359754.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Avengers: Infinity War,678815482.0,2048359754.0,257698183.0,321000000.0,149.0,8.4,0.9965981505438167,2797800564.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Thor,181030624.0,449326618.0,65723338.0,150000000.0,115.0,7.0,2.5106607254084614,644783140.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Captain America: The First Avenger,176654505.0,370569774.0,65058524.0,140000000.0,124.0,6.9,2.702314215897657,714421503.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Captain America: The Winter Soldier,259766572.0,714421503.0,95023721.0,170000000.0,136.0,7.7,2.0890230463322315,1153332120.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Deadpool,363070709.0,782612155.0,132434639.0,58000000.0,108.0,8.0,2.2615111877725074,785794179.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
The Purge,64473115.0,89328627.0,34058360.0,3000000.0,85.0,5.7,1.111590244837334,111928365.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
The Purge: Anarchy,71962800.0,111928365.0,29816675.0,9000000.0,103.0,6.4,1.9548656029897944,118587880.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Zoolander,45172250.0,60780981.0,15525043.0,28000000.0,90.0,6.5,14.374011786689666,56722693.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Independence Day,306169268.0,817400891.0,50228264.0,75000000.0,145.0,7.0,19.975769522988152,389681935.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Blue Crush,40390647.0,51843679.0,14169455.0,25000000.0,104.0,5.7,8.807846841482029,61386695.305774644,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Trainspotting,16491080.0,16593356.0,262673.0,17109701.750843633,93.0,8.1,20.64108092568636,41681746.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Blade Runner,32868943.0,41492614.0,6150002.0,28000000.0,117.0,8.1,35.2834075990609,259239658.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Guardians of the Galaxy,333176600.0,772791483.0,94320883.0,170000000.0,121.0,8.0,2.759810263044416,863756051.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Star Trek,257730019.0,385680446.0,75204289.0,150000000.0,127.0,7.9,4.021985393266117,467365246.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Star Trek Into Darkness,228778661.0,467365246.0,70165559.0,190000000.0,132.0,7.7,3.1841858491276342,343471816.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Gremlins,153378102.0,153629189.0,12511634.0,11000000.0,106.0,7.3,6.01791960136074,41482207.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Dumb and Dumber,127175374.0,247275374.0,16363442.0,17000000.0,107.0,7.3,8.490249628671362,39267515.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Dumb and Dumberer: When Harry Met Lloyd,26276465.0,39267515.0,11100000.0,19000000.0,85.0,3.4,11.422548033156055,169837010.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Despicable Me,251513985.0,543113985.0,56397125.0,69000000.0,95.0,7.6,2.9843186376174735,970766005.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Despicable Me 2,368065385.0,970766005.0,83517315.0,76000000.0,98.0,7.3,3.991868416189244,1034800131.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Kingsman: The Secret Service,128261724.0,414351546.0,36206331.0,81000000.0,129.0,7.7,2.606487470653059,410902662.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Goon,4168528.0,6985158.0,1232860.0,19089500.424634263,92.0,6.8,5.519620526088832,20571055.661526415,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Maze Runner: The Scorch Trials,81697192.0,312296056.0,30316510.0,61000000.0,131.0,6.3,2.357337933017105,288175335.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Paddington,76271832.0,282377550.0,18966676.0,55000000.0,95.0,7.2,2.9897944516314503,227978645.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Three Colors: Blue,1324974.0,1341154.0,6413.0,17920854.90092838,94.0,7.9,0.7529244269218396,1237219.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Three Colors: White,1237219.0,1237219.0,22284.0,17936418.229750838,92.0,7.6,0.4544925631600923,3581969.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Hotel Transylvania,148313048.0,358375603.0,42522194.0,85000000.0,91.0,7.1,2.9897944516314503,474800000.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Hotel Transylvania 2,169700110.0,474800000.0,48464322.0,80000000.0,89.0,6.7,2.7981409611422547,528583774.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Mamma Mia!,144169664.0,609913584.0,27751240.0,52000000.0,108.0,6.4,10.004312203536006,395101142.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Johnny English,28082366.0,160466000.0,9134085.0,40000000.0,89.0,6.2,8.260265440084327,160078586.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Johnny English Reborn,8305970.0,160078586.0,3833300.0,45000000.0,101.0,6.3,7.014517751904557,158972499.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Cars,244082982.0,461991867.0,60119509.0,120000000.0,117.0,7.1,5.0404867998658425,559852396.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Happy Death Day,55683845.0,125479266.0,26039025.0,4800000.0,96.0,6.6,1.3360986194103917,64600152.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Mission: Impossible,180981856.0,457731198.0,45436830.0,80000000.0,110.0,7.1,4.005557951224187,546388108.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Mission: Impossible II,215409889.0,546388108.0,57845297.0,125000000.0,123.0,6.1,5.946734019179039,398479497.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Mission: Impossible III,134029801.0,398479497.0,47743273.0,150000000.0,126.0,6.9,5.629136806368372,694713380.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Mission: Impossible - Ghost Protocol,209397903.0,694713380.0,12785204.0,145000000.0,132.0,7.4,3.608561435210853,682716636.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Mission: Impossible - Rogue Nation,195042377.0,682716636.0,55520089.0,150000000.0,131.0,7.4,2.9897944516314503,792586659.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Mission: Impossible - Fallout,220159104.0,792586659.0,61236534.0,178000000.0,147.0,7.7,3.315605385463083,217611052.4190028,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Mission: Impossible 7,95747843.58869721,217611052.4190028,26418055.193142984,50165288.69325075,105.27202062099786,6.239138405132907,0.9582674524459777,217611052.4190028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Secret Life of Pets,368384330.0,875457937.0,104352905.0,75000000.0,87.0,6.5,2.913133055435772,430051293.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
A Dog's Purpose,64508620.0,205736628.0,18222810.0,22000000.0,100.0,7.2,2.299841885870346,75727748.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
John Wick,43037835.0,86081711.0,14415922.0,20000000.0,101.0,7.4,2.299841885870346,171547802.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
John Wick: Chapter 2,92029184.0,171547802.0,30436123.0,40000000.0,122.0,7.5,2.2615111877725074,326709727.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
